source,mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.config
lgbm_best_rmse,17,1040,10,8,0.05413855436292775,7.963634588762434e-5,0.9363009011489339,pre0_mod034_post0
lgbm_best_rmse_pct_loss,5,1230,28,10,0.03872955871948086,4.136283843847631,0.9816264788096305,pre0_mod005_post0
lgbm_best_rmse_one_std_err,24,372,37,8,0.03503621317847641,0.5526369785139237,0.7052812618925236,pre0_mod050_post0
lgbm_best_r2,17,1040,10,8,0.05413855436292775,7.963634588762434e-5,0.9363009011489339,pre0_mod034_post0
lgbm_best_r2_pct_loss,5,1230,28,10,0.03872955871948086,4.136283843847631,0.9816264788096305,pre0_mod005_post0
lgbm_best_r2_one_std_err,24,372,37,8,0.03503621317847641,0.5526369785139237,0.7052812618925236,pre0_mod050_post0
