source,mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.config
xgb_best_rmse,36,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,pre0_mod078_post0
xgb_best_rmse_pct_loss,3,703,25,7,0.0786562854959896,0.0047329076904650425,0.7438042299356311,pre0_mod001_post0
xgb_best_rmse_one_std_err,26,386,22,8,0.012298284033819327,0.0248305698356314,0.5488092520576902,pre0_mod054_post0
xgb_best_r2,36,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,pre0_mod078_post0
xgb_best_r2_pct_loss,3,703,25,7,0.0786562854959896,0.0047329076904650425,0.7438042299356311,pre0_mod001_post0
xgb_best_r2_one_std_err,36,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,pre0_mod078_post0
