model,selection,mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.config,source
XGBoost,best_r2,36,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,pre0_mod078_post0,xgb_best_r2
LightGBM,best_r2,17,1040,10,8,0.05413855436292775,7.963634588762434e-5,0.9363009011489339,pre0_mod034_post0,lgbm_best_r2
