model,selection,mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.config,source
XGBoost,best_r2,10,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,pre0_mod074_post0,xgb_best_r2
LightGBM,best_r2,6,1315,25,8,0.07266285656877539,0.017388169756854595,0.6482136325375177,pre0_mod035_post0,lgbm_best_r2
