source,mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.config
xgb_best_rmse,10,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,pre0_mod074_post0
xgb_best_rmse_pct_loss,3,587,31,7,0.022871398225759343,1.5423129922582442e-5,0.8616011641768273,pre0_mod002_post0
xgb_best_rmse_one_std_err,10,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,pre0_mod074_post0
xgb_best_r2,10,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,pre0_mod074_post0
xgb_best_r2_pct_loss,3,587,31,7,0.022871398225759343,1.5423129922582442e-5,0.8616011641768273,pre0_mod002_post0
xgb_best_r2_one_std_err,10,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,pre0_mod074_post0
