mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.metric,.estimator,mean,n,std_err,.config
5,981,38,7,0.0035602243895922394,2.369580039302661e-5,0.8731332789990119,mae,standard,1.433943778819994,5,0.003201771519926381,pre0_mod01_post0
5,981,38,7,0.0035602243895922394,2.369580039302661e-5,0.8731332789990119,rmse,standard,1.8655862901774938,5,0.0032482246225222174,pre0_mod01_post0
5,981,38,7,0.0035602243895922394,2.369580039302661e-5,0.8731332789990119,rsq,standard,0.6156493892354095,5,0.001840352635449452,pre0_mod01_post0
6,715,34,6,0.0028863511754520436,1.0337319376446679e-5,0.7417042023851537,mae,standard,1.5463561736829465,5,0.002998520959717787,pre0_mod02_post0
6,715,34,6,0.0028863511754520436,1.0337319376446679e-5,0.7417042023851537,rmse,standard,1.9838871587723481,5,0.003801290258627691,pre0_mod02_post0
6,715,34,6,0.0028863511754520436,1.0337319376446679e-5,0.7417042023851537,rsq,standard,0.5952885383337791,5,0.001752699135207184,pre0_mod02_post0
7,1044,36,4,0.010287595596054522,31.57064158926484,0.6722664507920854,mae,standard,1.41943911854737,5,0.003042758894380364,pre0_mod03_post0
7,1044,36,4,0.010287595596054522,31.57064158926484,0.6722664507920854,rmse,standard,1.8530097734347806,5,0.0032805465728406504,pre0_mod03_post0
7,1044,36,4,0.010287595596054522,31.57064158926484,0.6722664507920854,rsq,standard,0.6160841940283823,5,0.0020215753482732803,pre0_mod03_post0
8,1619,16,4,0.056518168465051866,44.95092506557508,0.5144301690122423,mae,standard,1.4027129353376062,5,0.0034129296855306126,pre0_mod04_post0
8,1619,16,4,0.056518168465051866,44.95092506557508,0.5144301690122423,rmse,standard,1.8376503482582167,5,0.0034944475610326226,pre0_mod04_post0
8,1619,16,4,0.056518168465051866,44.95092506557508,0.5144301690122423,rsq,standard,0.6200715107346865,5,0.0017464946515820695,pre0_mod04_post0
10,1241,33,9,0.03139977659626229,5.331933616172261e-4,0.5838438880241786,mae,standard,1.3592592455799561,5,0.0045295695888853335,pre0_mod05_post0
10,1241,33,9,0.03139977659626229,5.331933616172261e-4,0.5838438880241786,rmse,standard,1.793013650751978,5,0.003831604875567771,pre0_mod05_post0
10,1241,33,9,0.03139977659626229,5.331933616172261e-4,0.5838438880241786,rsq,standard,0.63650018959234,5,0.0018295852182755809,pre0_mod05_post0
12,497,6,6,0.020780298455477048,2.0865988880119384e-4,0.8468661141620639,mae,standard,1.3689203721410006,5,0.00378308113166119,pre0_mod06_post0
12,497,6,6,0.020780298455477048,2.0865988880119384e-4,0.8468661141620639,rmse,standard,1.8028768312212995,5,0.003106330577148711,pre0_mod06_post0
12,497,6,6,0.020780298455477048,2.0865988880119384e-4,0.8468661141620639,rsq,standard,0.6327915615837192,5,0.0016306607512814233,pre0_mod06_post0
14,929,25,3,0.009145436177987748,0.2158148077484522,0.5629386657848954,mae,standard,1.5232274654166444,5,0.002503947962955366,pre0_mod07_post0
14,929,25,3,0.009145436177987748,0.2158148077484522,0.5629386657848954,rmse,standard,1.9604766269528986,5,0.002978170275546421,pre0_mod07_post0
14,929,25,3,0.009145436177987748,0.2158148077484522,0.5629386657848954,rsq,standard,0.5821961558509273,5,0.0024873468503422568,pre0_mod07_post0
14,1150,10,9,0.02575900820402266,12.545902071333726,0.8887430302371893,mae,standard,1.3742160130879344,5,0.004049785490804991,pre0_mod08_post0
14,1150,10,9,0.02575900820402266,12.545902071333726,0.8887430302371893,rmse,standard,1.8086354646271687,5,0.0036531120886917705,pre0_mod08_post0
14,1150,10,9,0.02575900820402266,12.545902071333726,0.8887430302371893,rsq,standard,0.6306050472849595,5,0.0017787661311331829,pre0_mod08_post0
16,1266,37,8,0.007083153464008191,0.0014465919267016073,0.7302456523990258,mae,standard,1.365794745320218,5,0.004139597216386243,pre0_mod09_post0
16,1266,37,8,0.007083153464008191,0.0014465919267016073,0.7302456523990258,rmse,standard,1.8000277481838232,5,0.0034749158255687677,pre0_mod09_post0
16,1266,37,8,0.007083153464008191,0.0014465919267016073,0.7302456523990258,rsq,standard,0.6337869502377869,5,0.0016956242202055651,pre0_mod09_post0
19,905,17,8,0.0011474757896933329,0.007325711347496002,0.5259857498458587,mae,standard,1.6840818748941673,5,0.002844233385635358,pre0_mod10_post0
19,905,17,8,0.0011474757896933329,0.007325711347496002,0.5259857498458587,rmse,standard,2.1330587110987635,5,0.003941426765664952,pre0_mod10_post0
