Variable,Importance
latitude,0.3150666355142996
longitude,0.24574360024634742
year,0.14075160623514152
om_pct,0.09168559083339958
soilp_ppm,0.057057670016545214
soilk_ppm,0.05622313666435093
previous_crop_Soybean,0.04265945355025631
soilp_h,0.03391342367893679
previous_crop_Corn,0.008574612791978608
site_DEH1,0.004072013882779819
previous_crop_Wheat,0.0032356619851975524
site_IAH1,6.393984767145028e-4
site_IAH4,3.295414901942141e-4
site_WIH2,4.7654633857913377e-5
