source,mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.config
lgbm_best_rmse,6,1315,25,8,0.07266285656877539,0.017388169756854595,0.6482136325375177,pre0_mod035_post0
lgbm_best_rmse_pct_loss,3,1230,28,10,0.03872955871948086,4.136283843847631,0.9816264788096305,pre0_mod004_post0
lgbm_best_rmse_one_std_err,8,372,37,8,0.03503621317847641,0.5526369785139237,0.7052812618925236,pre0_mod051_post0
lgbm_best_r2,6,1315,25,8,0.07266285656877539,0.017388169756854595,0.6482136325375177,pre0_mod035_post0
lgbm_best_r2_pct_loss,3,1230,28,10,0.03872955871948086,4.136283843847631,0.9816264788096305,pre0_mod004_post0
lgbm_best_r2_one_std_err,8,372,37,8,0.03503621317847641,0.5526369785139237,0.7052812618925236,pre0_mod051_post0
