year,site,longitude,latitude,dayl_s_mean,prcp_mm_total,srad_wm2_mean,tmax_c_mean,tmin_c_mean,vp_pa_mean,swe_kgm2_mean
2014,DEH1,-75.204048,38.637405,43200.114575342464,1152.58,313.9152876712329,18.268876712328765,7.900849315068493,1254.2487671232877,0.845972602739726
2014,GAH1,-83.555016,31.506544,43200.08701369863,1542.4,341.53027397260274,24.473260273972603,12.00572602739726,1579.8093698630137,0
2014,IAH1,-93.696188,41.99653,43200.12978082192,1182.61,306.7448219178082,13.327095890410959,1.8735068493150686,928.8458904109589,5.166356164383561
2014,IAH2,-94.727606,42.066206,43200.13010958904,1045.36,305.5952876712329,13.342958904109588,1.5197260273972604,897.262904109589,2.570712328767123
2014,IAH3,-92.259751,41.98713,43200.12978082192,1002.65,307.62775342465756,12.852767123287672,1.4741369863013698,906.0408219178082,5.652602739726027
2014,IAH4,-91.486943,41.198645,43200.12602739726,1083.24,310.8461917808219,14.047671232876713,2.5204109589041095,965.798493150685,7.884986301369863
2014,ILH1,-88.233184,40.061135,43200.12084931507,1170.6299999999999,317.9466575342466,15.029397260273972,4.135369863013699,1046.4511506849315,11.238301369863013
2014,INH1,-87.006,40.488,43200.12249315069,1287.69,318.31186301369866,14.382575342465753,3.1767397260273973,985.0426301369863,33.83345205479452
2014,MNH1,-93.53409096,44.06971707,43200.14005479452,907.03,296.0592602739726,10.824602739726027,0.09578082191780819,873.9879178082192,14.427780821917809
2014,MOH1,-92.20997,38.898702,43200.115561643834,1188.33,320.3296712328767,16.641013698630136,5.290630136986302,1117.877917808219,4.071780821917808
2014,MOH2,-92.352163,38.928745,43200.115917808216,1223.7,316.3519178082192,17.183945205479453,5.755534246575342,1160.5814246575342,2.7454246575342465
2014,NCH1,-77.57159444,35.29921111,43200.10109589041,1478.75,327.50827397260275,22.085698630136985,10.050246575342467,1429.8172602739726,0.006027397260273973
2014,NEH1,-96.656687,40.834392,43200.124328767124,1034.47,316.6515890410959,16.681643835616438,3.2966301369863014,967.7966301369863,2.032109589041096
2014,NEH2,-100.749467,41.052978,43200.125232876715,623.66,339.1097808219178,16.613397260273974,1.307917808219178,768.6388219178082,2.697808219178082
2014,NEH3,-101.99598,41.16353,43200.12569863014,485.29,341.61098630136985,16.584246575342465,1.2489041095890412,738.4347123287671,4.342657534246576
2014,NYH1,-76.651654,42.728765,43200.13328767123,1025.61,293.2921095890411,12.709972602739725,2.4197808219178083,910.2703561643835,13.492082191780822
2014,NYH2,-76.65,42.73,43200.13328767123,1025.61,293.2921095890411,12.709972602739725,2.4197808219178083,910.2703561643835,13.492082191780822
2014,ONH1,-80.42696111,43.497025,43200.13690410959,1006.96,302.12830136986304,10.855753424657534,0.9503287671232876,826.4595342465753,26.42594520547945
2014,ONH2,-81.88311111,42.45419722,43200.131643835615,890.79,298.8352328767123,11.969068493150685,3.24827397260274,966.3,7.85841095890411
2014,TXH1,-96.43394444,30.54684444,43200.083671232875,981.78,354.34641095890413,25.85539726027397,13.206,1679.3413150684933,0
2014,TXH2,-101.9494444,34.18466667,43200.096520547944,596.04,374.3985205479452,22.10268493150685,5.992356164383562,962.442904109589,0.07238356164383561
2014,WIH1,-89.53098611,43.05706111,43200.13454794521,1036.17,309.5311506849315,11.723452054794521,0.6162465753424657,855.5792054794521,11.642383561643836
2015,DEH1,-75.465973,38.629977,43200.114575342464,1266.4,313.9116712328767,19.409287671232878,8.91123287671233,1351.1596712328767,3.2172328767123286
2015,GAH1,-83.554962,31.506502,43200.08701369863,1296.91,332.92093150684934,25.395232876712328,13.981534246575343,1753.378,0
2015,IAH1,-93.69447028,41.99825412,43200.129643835615,1346.66,304.7765479452055,15.355917808219179,3.9615068493150685,1007.4743287671233,6.102082191780822
2015,IAH3,-92.24139608,41.97577808,43200.12978082192,1143.93,305.3917808219178,15.049808219178082,3.5696986301369864,981.8998082191781,5.6556712328767125
2015,IAH4,-91.4951794,41.19981657,43200.12602739726,1201.01,306.766,16.252547945205478,4.603506849315068,1058.0796164383562,4.8192876712328765
2015,ILH1,-88.233648,40.060306,43200.12084931507,1269.27,317.9198904109589,16.91249315068493,5.720219178082192,1118.7747945205479,3.492356164383562
2015,INH1,-87.00056,40.47666,43200.12249315069,1170.62,314.0379726027397,16.23057534246575,4.966493150684931,1071.2940547945204,5.914904109589041
2015,KSH1,-96.605189,39.215864,43200.11687671233,1105.54,320.1876712328767,19.53572602739726,6.42358904109589,1165.0415342465753,3.2465753424657535
2015,MNH1,-93.534855,44.070989,43200.14005479452,1087.05,290.85334246575343,13.542027397260274,2.5578082191780824,928.3172328767123,6.2613150684931504
2015,MOH1,-92.20833333,38.89608333,43200.115561643834,1254,312.0766301369863,18.572301369863013,7.545095890410959,1248.158712328767,1.113972602739726
2015,MOH2,-92.20758333,38.89853333,43200.115561643834,1254,312.0766301369863,18.572301369863013,7.545095890410959,1248.158712328767,1.113972602739726
2015,NCH1,-77.56711667,35.29597778,43200.10095890411,1626.8799999999999,320.2203287671233,22.912657534246577,11.35627397260274,1544.237095890411,0.7898630136986301
2015,NEH1,-96.417261,41.166356,43200.12569863014,1089.05,306.60772602739723,17.32621917808219,5.101424657534246,1081.9382739726027,3.2867123287671234
2015,NEH2,-100.746632,41.050974,43200.125232876715,599.16,325.4396712328767,17.854082191780822,3.0811506849315067,871.6218630136987,0.23975342465753424
2015,NEH3,-101.988317,41.158406,43200.12569863014,643.15,328.4072328767123,17.811397260273974,2.71,843.4034246575343,1.6344383561643836
2015,NEH4,-96.417192,41.167022,43200.12569863014,1089.05,306.60772602739723,17.32621917808219,5.101424657534246,1081.9382739726027,3.2867123287671234
2015,NYH2,-76.653275,42.732712,43200.13328767123,1050.18,303.97616438356164,13.63186301369863,2.9038356164383563,945.692794520548,25.03391780821918
2015,NYH3,-76.656229,42.723512,43200.13328767123,1039.78,303.0423835616438,13.689315068493151,2.9674794520547945,949.8748219178083,23.233808219178083
2015,OHH1,-83.664387,39.85542,43200.11939726028,1432.24,319.8607397260274,16.345534246575344,5.170301369863013,1078.294109589041,19.814273972602738
2015,ONH1,-80.448907,43.497347,43200.13690410959,796.07,312.5464657534247,12.450328767123288,1.8122191780821917,847.0055890410958,23.61172602739726
2015,ONH2,-81.880906,42.454331,43200.131643835615,781.68,303.14183561643836,13.468657534246574,4.412931506849315,1020.2598356164384,9.531205479452055
2015,SDH1,-102.92972,44.20888,43200.14054794521,416.42,317.69063013698633,16.581013698630137,2.076821917808219,750.6986575342465,2.4225753424657537
2015,TXH1,-96.43468,30.546769,43200.083671232875,1583.79,345.17575342465756,26.554246575342464,14.180164383561644,1697.5767397260274,0
2015,WIH1,-89.52875,43.054433,43200.13454794521,1189.6,304.4946575342466,13.900410958904109,2.757753424657534,934.7577534246575,7.494849315068493
2015,WIH2,-89.334397,43.326656,43200.136191780824,1053.46,301.01082191780824,13.968520547945205,2.466986301369863,907.5790136986301,3.0396712328767124
2016,ARH1,-90.759742,34.729884,43200.09890410959,1434.72,325.06934246575344,23.148109589041095,12.172739726027398,1630.9252876712328,0.059671232876712325
2016,ARH2,-90.665006,35.838816,43200.10309589041,1422.1,321.7381917808219,22.32427397260274,10.984219178082192,1532.9581643835616,0.01772602739726027
2016,DEH1,-75.45159,38.64865,43200.114575342464,1424.74,308.79320547945207,19.741753424657535,9.320493150684932,1374.4387671232876,0.9383835616438356
2016,GAH1,-83.559182,31.50822,43200.08701369863,1352,347.793698630137,26.02958904109589,13.178301369863014,1677.9368219178082,0
2016,GAH2,-83.31141,33.71736,43200.09484931507,858.36,345.85657534246576,25.05986301369863,11.44731506849315,1488.5064383561644,0
2016,IAH1,-91.486205,41.198693,43200.12602739726,948.38,303.82953424657535,16.95117808219178,5.808876712328767,1118.1383835616439,0.45016438356164384
2016,IAH2,-94.7274477,42.06591034,43200.13010958904,925.02,306.99120547945205,15.887068493150686,4.358465753424658,1031.5506575342465,3.858986301369863
2016,IAH3,-92.2601563,41.987383,43200.12978082192,990.21,300.8733698630137,15.751808219178082,4.584794520547945,1035.9966301369864,0.2640547945205479
2016,IAH4,-93.69989887,41.99750188,43200.129643835615,1052.11,301.26320547945204,16.248520547945205,4.941041095890411,1069.2115342465754,0.2778082191780822
2016,ILH1,-88.233272,40.061188,43200.12084931507,1022.67,308.0797808219178,17.799260273972603,6.9507671232876715,1197.5949589041095,0.34893150684931507
2016,INH1,-86.990135,40.478351,43200.12249315069,976.37,303.12498630136986,17.061095890410957,6.279260273972603,1155.8503835616439,0.7875068493150685
2016,KSH1,-96.629383,39.14409,43200.11671232877,1002.9499999999999,319.4946575342466,20.90186301369863,7.6396712328767125,1223.0170684931506,0.0918904109589041
2016,MIH1,-84.295393,42.411797,43200.131643835615,958.37,301.1348493150685,15.59668493150685,4.598191780821918,1003.0037260273973,1.9708493150684931
2016,MNH1,-93.534178,44.066160000000004,43200.14005479452,1332.76,284.1812876712329,14.163506849315068,3.669068493150685,996.776,3.756657534246575
2016,MOH1,-92.20754,38.89497,43200.115561643834,935.09,318.98816438356164,19.529424657534246,8.447150684931508,1269.9631506849314,0.46884931506849314
2016,NCH1,-77.570669,35.30049,43200.10109589041,1725.37,319.59942465753426,23.26608219178082,11.53,1561.8400547945205,0
2016,NYH2,-76.6551,42.725428,43200.13328767123,925.6,302.9874520547945,14.961616438356165,3.8863013698630136,918.467095890411,12.391232876712328
2016,OHH1,-83.675203,39.860557,43200.11939726028,1177.42,309.47734246575345,17.459561643835617,6.210958904109589,1144.7298356164383,7.894219178082192
2016,ONH1,-80.451969,43.499678,43200.13690410959,907.9,300.06161643835617,13.748547945205479,3.190739726027397,897.6821095890411,8.812356164383562
2016,ONH2,-81.883455,42.452749,43200.131643835615,803.54,291.6347397260274,14.853068493150685,5.832767123287671,1095.0855616438357,0.23142465753424657
2016,TXH1,-96.43468,30.546769,43200.083671232875,1360.21,344.62046575342464,27.46958904109589,14.638082191780821,1848.5494794520548,0
2016,WIH1,-89.531689,43.056867,43200.13454794521,1225.47,293.1526849315068,14.390794520547946,3.9552876712328766,1009.560904109589,4.0819178082191785
2016,WIH2,-89.340156,43.326953,43200.136191780824,1119.65,289.8044109589041,14.527452054794521,3.582219178082192,980.4292876712328,3.9008219178082193
2017,ARH1,-90.759769,34.729874,43200.09890410959,1568.76,324.0258082191781,23.048027397260274,12.111780821917808,1590.4440821917808,0
2017,ARH2,-90.07489,35.674718,43200.102410958905,1342.91,321.03613698630136,22.388109589041097,11.234767123287671,1516.2214520547946,0
2017,COH1,-105.000257,40.647855,43200.12347945206,429.92,353.4517260273973,18.655506849315067,2.6214520547945206,685.8416164383561,1.6816712328767123
2017,DEH1,-75.433932,38.669557,43200.114575342464,1129.97,312.72791780821916,19.821561643835615,9.588712328767123,1383.4516164383563,1.4688219178082191
2017,GAH1,-83.559239,31.508253,43200.08701369863,1246.52,345.2587123287671,26.064082191780823,13.563342465753424,1693.9630684931508,0
2017,GAH2,-83.297769,33.726862,43200.09484931507,1517.23,336.93347945205477,24.273671232876712,11.672630136986301,1520.9855890410959,0
2017,IAH1,-91.49516276,41.19942883,43200.12602739726,833.05,305.35813698630136,16.932849315068495,4.849643835616439,1032.236493150685,1.0748219178082192
2017,IAH2,-94.72074524,42.06455508,43200.13010958904,863.34,300.2081095890411,15.738602739726028,3.893972602739726,989.3483835616438,1.844904109589041
2017,IAH3,-92.24144143,41.97575167,43200.12978082192,741.09,304.8940273972603,15.61731506849315,3.643835616438356,961.3738630136986,1.6432876712328768
2017,IAH4,-93.68863495,41.99439403,43200.12978082192,886.62,304.1621369863014,16.111835616438356,4.359068493150685,1018.7988219178083,1.2496164383561643
2017,MIH1,-84.494063,42.681899,43200.13328767123,1025.32,298.5903835616438,15.141260273972602,4.330493150684932,983.9254246575342,4.137397260273973
2017,MOH1,-92.20483,38.89238,43200.115561643834,907.85,318.63887671232874,19.65013698630137,8.123123287671232,1227.6350410958903,0.10682191780821917
2017,NCH1,-77.567222,35.296066,43200.10095890411,1099.38,324.9566301369863,23.70972602739726,11.690328767123289,1559.8907123287672,0
2017,NEH3,-96.409,41.162,43200.12569863014,888.59,306.920301369863,17.643534246575342,5.361671232876712,1058.3427397260275,0.6079452054794521
2017,NEH4,-96.409,41.162,43200.12569863014,888.59,306.920301369863,17.643534246575342,5.361671232876712,1058.3427397260275,0.6079452054794521
2017,NYH1,-76.6524,42.7286167,43200.13328767123,1218.03,292.5142739726027,14.047616438356165,3.9872876712328766,961.0298904109588,2.4635068493150687
2017,NYH2,-76.653267,42.732186,43200.13328767123,1218.03,292.5142739726027,14.047616438356165,3.9872876712328766,961.0298904109588,2.4635068493150687
2017,NYH3,-76.653178,42.733064,43200.13328767123,1218.03,292.5142739726027,14.047616438356165,3.9872876712328766,961.0298904109588,2.4635068493150687
