year,site,month_abb,mean_dayl_s,mean_srad_w_m_2,mean_tmax_deg_c,mean_tmin_deg_c,mean_vp_pa,sum_prcp_mm_day,sum_swe_kg_m_2
2014,DEH1,Jan,34681.64387096774,225.62032258064517,5.398064516129033,-6.223870967741935,425.398064516129,67.36,101.75
2014,DEH1,Feb,37944.42428571429,271.3646428571428,6.960357142857142,-2.8489285714285715,512.4232142857143,104.65,176.79
2014,DEH1,Mar,42277.62774193548,330.48645161290324,10.375806451612902,-0.6041935483870968,614.9870967741936,111.03,30.240000000000002
2014,DEH1,Apr,46902.960333333336,389.48566666666665,17.013333333333332,5.996333333333333,959.1716666666666,105.04,0
2014,DEH1,May,50798.95483870968,405.8874193548387,23.717741935483872,12.624516129032259,1483.4867741935484,75.39,0
2014,DEH1,Jun,52759.836,395.09133333333335,28.022,17.15566666666667,1993.703,31.64,0
2014,DEH1,Jul,51835.21161290322,369.63516129032257,29.00258064516129,19.08290322580645,2237.593870967742,151.58,0
2014,DEH1,Aug,48447.35612903226,382.5651612903226,27.869032258064514,17.713870967741936,2044.1309677419354,103.03,0
2014,DEH1,Sep,43969.59333333333,319.5276666666667,26.165666666666667,16.353666666666665,1911.7796666666666,131.48,0
2014,DEH1,Oct,39354.256129032256,275.5577419354839,20.995806451612903,10.826129032258065,1338.6409677419356,67.01,0
2014,DEH1,Nov,35493.57633333333,227.20133333333334,12.971666666666666,2.375,770.8836666666666,96.57,0
2014,DEH1,Dec,33631.367741935486,172.88290322580644,9.998064516129032,1.6503225806451614,706.9496774193549,107.8,0
2014,GAH1,Jan,36720.92451612903,261.9541935483871,12.071612903225807,-0.21612903225806454,628.6609677419355,85.61,0
2014,GAH1,Feb,39186.38642857143,316.7682142857143,17.747857142857143,4.882857142857143,898.83,117.48,0
2014,GAH1,Mar,42493.9864516129,373.18709677419355,19.15290322580645,5.789032258064516,943.1525806451613,146.10999999999999,0
2014,GAH1,Apr,46031.244333333336,381.78633333333335,24.197,11.543333333333333,1395.6996666666666,245.83999999999997,0
2014,GAH1,May,48987.36387096774,430.47483870967744,29.381290322580647,16.28322580645161,1879.6270967741937,136.85,0
2014,GAH1,Jun,50459.106,381.282,32.431666666666665,20.909,2476.6273333333334,65.34,0
2014,GAH1,Jul,49766.79,380.85483870967744,32.715806451612906,21.32032258064516,2545.932580645161,63.22,0
2014,GAH1,Aug,47207.06967741936,389.6077419354839,33.63258064516129,21.30548387096774,2507.047741935484,77.31,0
2014,GAH1,Sep,43789.10433333334,298.15933333333334,29.604333333333333,20.092333333333332,2372.688,159.13,0
2014,GAH1,Oct,40259.951290322584,373.7861290322581,26.3341935483871,12.278709677419355,1475.4887096774194,76.09,0
2014,GAH1,Nov,37331.556666666664,284.824,18.293666666666667,3.603666666666667,828.5516666666666,173.03,0
2014,GAH1,Dec,35934.32064516129,222.6348387096774,17.679354838709678,5.849677419354839,963.8380645161291,196.39,0
2014,IAH1,Jan,33574.33,217.11225806451614,-3.080967741935484,-16.079354838709676,199.5558064516129,7.23,52.22
2014,IAH1,Feb,37277.22607142857,264.8275,-4.415,-16.431428571428572,195.48785714285714,48.46,623.21
2014,IAH1,Mar,42162.07548387097,377.6832258064516,4.974193548387097,-7.084193548387097,350.71612903225804,28.75,963.02
2014,IAH1,Apr,47369.83433333333,377.334,15.079666666666666,1.6393333333333333,650.3933333333333,171.71,93.95
2014,IAH1,May,51779.193225806455,398.551935483871,22.466129032258063,9.374516129032259,1239.9106451612904,102.97,0
2014,IAH1,Jun,54014.759666666665,363.276,26.477666666666668,15.471666666666668,1777.364,256.82,0
2014,IAH1,Jul,52958.88483870968,402.6141935483871,26.013870967741934,14.70258064516129,1696.6332258064517,82.56,0
2014,IAH1,Aug,49113.77225806451,322.56032258064516,26.815483870967743,16.97806451612903,1955.0393548387096,206.31,0
2014,IAH1,Sep,44065.975333333336,334.995,22.528,10.517,1312.126,128.11,0
2014,IAH1,Oct,38869.03129032258,268.36709677419356,16.804193548387097,4.410322580645161,857.3670967741936,88.51,0
2014,IAH1,Nov,34498.71566666666,201.36233333333334,3.6590000000000003,-6.923,407.485,24.89,75.96
2014,IAH1,Dec,32375.180322580643,149.81,1.3516129032258066,-5.438709677419355,447.03709677419357,36.29,77.36
2014,IAH2,Jan,33533.82129032258,216.25451612903225,-2.475806451612903,-16.47225806451613,192.77225806451614,5.12,23.8
2014,IAH2,Feb,37252.92821428571,260.38428571428574,-3.957142857142857,-16.1975,187.63392857142858,33.87,297.53000000000003
2014,IAH2,Mar,42157.87870967742,386.53096774193546,5.452580645161291,-7.735806451612903,285.00290322580645,16.13,506.52
2014,IAH2,Apr,47386.814666666665,362.3863333333333,14.981333333333334,1.0306666666666666,562.4503333333333,93.35,10.49
2014,IAH2,May,51814.99806451613,401.94,22.59516129032258,8.89741935483871,1160.2509677419355,107.62,0
2014,IAH2,Jun,54060.756,351.45033333333333,26.41166666666667,15.3,1760.511,228.01,0
2014,IAH2,Jul,52999.99741935484,410.14096774193547,25.765806451612903,14.456774193548387,1669.282258064516,91.79,0
2014,IAH2,Aug,49138.04451612903,317.6532258064516,26.114193548387096,16.760967741935485,1928.6654838709678,244.21,0
2014,IAH2,Sep,44069.475333333336,336.2613333333333,22.394000000000002,10.174666666666667,1280.8993333333333,145.85999999999999,0
2014,IAH2,Oct,38851.379677419354,276.31935483870967,17.086451612903225,4.244193548387097,852.0325806451613,43.75,0
